Accession	Class
BbCD00385183	2
BbCD00385184	0
BcCD00540749	2
BcCD00583995	2
BsCD00423013	1
BsCD00666060	2
BtCD00397442	2
CaCD00344362	0
CaCD00590143	2
CgCD00334667	2
CgCD00334669	2
CgCD00334670	1
CjCD00334685	2
CpCD00343768	2
CpCD00343992	2
CpCD00540126	1
CsCD00331984	2
DhCD00338941	0
DrCD00338601	2
DrCD00422728	2
DrCD00546512	2
DrCD00546514	2
EcCD00331333	2
EcCD00331336	2
EcCD00331340	2
EcCD00331345	2
EcCD00331370	0
LbCD00339833	2
LbCD00598846	0
LbCD00651799	2
LbCD00665575	2
LcCD00334954	2
LcCD00423041	1
LcCD00423045	2
LcCD00423046	2
LcCD00530917	2
LpCD00334952	1
LpCD00334953	2
LpCD00336888	1
MmCD00334943	2
MmCD00334945	2
MmCD00334946	2
MmCD00334947	2
MmCD00334948	0
MmCD00334949	0
MmCD00334950	2
MmCD00540402	2
MmCD00540772	1
MmCD00591394	2
MmCD00591395	0
MmCD00591396	2
NeCD00331633	1
NeCD00591389	2
NeCD00591391	0
NeCD00605601	0
NsCD00340054	1
NsCD00343514	0
PfCD00338614	1
PfCD00343419	2
PfCD00423030	0
PmCD00344021	0
RpCD00339687	0
ScCD00338751	2
ScCD00338757	2
ScCD00338761	2
ScCD00338764	2
ScCD00338767	2
ScCD00385040	2
ScCD00385041	2
ScCD00385042	2
ScCD00385044	2
ScCD00385047	2
ScCD00385048	1
ScCD00385052	2
ScCD00385056	1
ScCD00385057	2
ScCD00539997	0
ScCD00539999	0
ScCD00596680	0
ScCD00596683	1
SmCD00584436	1
SpCD00664213	2
SpCD00664215	1
SsCD00338227	0
SsCD00338228	0
SsCD00397397	0
StCD00384783	2
StCD00385159	2
StCD00397420	2
StCD00422902	1
StCD00589069	1
StCD00665328	0
TaCD00344434	2
TmCD00384797	2
TmCD00664230	2
VcCD00305962	2
XfCD00338414	1
XfCD00342665	2
AaCD00331182	2
AaCD00331183	2
AaCD00331184	2
AaCD00331185	2
AaCD00331621	2
AaCD00331622	1
AaCD00331623	2
AaCD00331624	2
AaCD00334887	2
AaCD00343391	2
AaCD00343815	1
AaCD00343816	1
AaCD00343817	1
AaCD00343818	1
AaCD00343819	1
AaCD00343820	1
AaCD00530801	2
AaCD00536236	1
AaCD00536509	1
AaCD00536510	1
AaCD00536511	1
AaCD00536512	2
AaCD00536513	1
AaCD00540113	2
AaCD00540114	0
AaCD00540115	1
AaCD00540519	2
AaCD00540520	2
AaCD00540521	0
AaCD00540522	1
AaCD00540523	0
AaCD00540524	0
AaCD00540525	1
AaCD00540526	1
AaCD00540782	2
AaCD00540783	2
AaCD00540914	1
AaCD00540915	1
AaCD00540916	2
AaCD00540917	1
AaCD00540918	2
AaCD00540919	1
AaCD00540920	2
AaCD00540921	1
AaCD00540945	0
AaCD00540947	1
AaCD00540948	1
AaCD00540949	1
AaCD00540950	1
AaCD00540951	0
AaCD00540952	2
AaCD00540953	2
AaCD00591520	2
AaCD00628066	2
AaCD00666018	1
AaCD00666030	2
AbCD00338224	2
AbCD00338225	0
AbCD00422928	2
AbCD00536428	2
AbCD00536429	1
AbCD00536430	1
AbCD00539648	1
AbCD00539650	1
AbCD00539651	1
AbCD00539652	0
AbCD00539653	0
AbCD00539654	1
AbCD00539655	1
AbCD00540181	1
AbCD00540207	1
AbCD00540208	1
AbCD00540209	1
AbCD00540210	1
AbCD00540211	1
AbCD00546496	1
AbCD00546497	1
AbCD00546498	2
AbCD00583997	2
AbCD00583998	0
AbCD00583999	0
AbCD00584000	0
AbCD00584001	2
AbCD00591547	2
AbCD00627881	2
AbCD00651803	2
AbCD00666019	1
AbCD00666252	1
AhCD00334885	2
AhCD00334886	0
AhCD00384690	0
AhCD00384691	0
AhCD00384692	2
AhCD00384693	2
AhCD00384694	2
AhCD00384695	2
AhCD00384696	2
AhCD00384697	2
AhCD00384698	1
AhCD00384699	2
AhCD00384700	2
AhCD00422921	2
AhCD00665997	0
ApCD00331280	2
ApCD00331281	2
ApCD00331570	2
ApCD00338223	0
ApCD00338413	0
ApCD00343865	1
ApCD00343866	1
ApCD00344007	2
ApCD00344008	2
ApCD00344009	0
ApCD00344010	2
ApCD00344011	1
ApCD00344379	0
ApCD00344380	0
ApCD00384921	0
ApCD00384922	1
ApCD00384923	0
ApCD00397435	2
ApCD00422969	2
ApCD00423453	2
ApCD00423459	0
ApCD00531239	2
ApCD00536516	2
ApCD00536517	2
ApCD00536518	2
ApCD00540576	2
ApCD00590316	0
ApCD00590317	2
ApCD00590318	2
ApCD00590319	1
ApCD00590320	2
ApCD00591410	2
ApCD00591424	1
ApCD00598808	0
ApCD00666054	0
ApCD00666055	2
ApCD00666084	2
ApCD00666085	2
ApCD00666086	2
ApCD00670577	2
AsCD00331600	2
AsCD00331601	2
AsCD00331602	1
AsCD00331603	1
AsCD00331604	1
AsCD00331605	1
AsCD00331660	0
AsCD00331704	1
AsCD00331705	1
AsCD00331706	1
AsCD00332009	0
AsCD00332010	1
AsCD00332011	0
AsCD00334915	0
AsCD00334916	1
AsCD00336890	2
AsCD00338480	1
AsCD00338686	2
AsCD00338687	2
AsCD00338689	2
AsCD00338691	2
AsCD00338692	2
AsCD00338695	2
AsCD00338696	2
AsCD00338698	2
AsCD00338699	2
AsCD00338700	2
AsCD00338704	2
AsCD00338710	2
AsCD00338714	2
AsCD00338715	2
AsCD00338717	2
AsCD00338918	1
AsCD00338919	2
AsCD00338920	0
AsCD00339415	1
AsCD00339416	1
AsCD00339615	1
AsCD00341381	1
AsCD00342880	2
AsCD00342881	1
AsCD00342882	1
AsCD00342883	1
AsCD00344185	2
AsCD00344186	1
AsCD00344187	2
AsCD00344363	2
AsCD00344364	2
AsCD00344681	2
AsCD00344682	2
AsCD00344683	2
AsCD00344684	2
AsCD00344685	2
AsCD00344686	2
AsCD00344687	2
AsCD00384953	2
AsCD00384954	2
AsCD00384955	2
AsCD00384956	0
AsCD00384957	0
AsCD00384958	0
AsCD00384959	2
AsCD00423039	2
AsCD00423144	2
AsCD00423316	1
AsCD00423319	2
AsCD00423322	2
